Wall time,Step,Value
1643473508.2853642,2762805,-2063.16943359375
1643473543.3103635,2763405,-2659.26171875
1643473635.3598611,2765005,-1903.6025390625
1643473646.906362,2765205,-2340.064697265625
1643473665.0868626,2765505,-2413.420654296875
1643473728.4268622,2766605,-2105.784912109375
1643473815.2248652,2768105,-2093.814453125
1643473832.0813632,2768405,-2408.557373046875
1643473945.8008633,2770405,-1792.3955078125
1643474304.5778623,2776505,-1908.764404296875
1643474321.361862,2776805,-1619.6123046875
1643474374.297863,2777705,-1563.151123046875
1643474467.1818619,2779305,-1652.2591552734375
1643474478.3778636,2779505,-1894.1654052734375
1643474802.7783623,2783905,-1570.6490478515625
1643474831.8933656,2784405,-1931.290771484375
1643474918.6733642,2785905,-1941.97119140625
1643474954.302363,2786505,-1885.724365234375
1643474982.6618633,2787005,-2092.63134765625
1643475024.1468623,2787705,-2088.9716796875
1643475058.3638616,2788305,-1511.593994140625
1643475262.869364,2791805,-2204.812255859375
1643475274.4993606,2792005,-2098.9921875
1643475321.4303627,2792805,-1951.1588134765625
1643475443.2483635,2794905,-2088.18212890625
1643475491.0653632,2795705,-2297.57177734375
1643475608.4328635,2797705,-1600.283203125
1643475994.9353616,2803105,-1890.4893798828125
1643476000.593361,2803205,-2029.02880859375
1643476098.4673612,2804905,-2074.778076171875
1643476115.677862,2805205,-2261.453369140625
1643476132.9643629,2805505,-1954.6368408203125
1643476219.6253614,2807005,-2038.709228515625
1643476236.946862,2807305,-1736.686279296875
1643476242.8518634,2807405,-2275.936279296875
1643476300.019863,2808405,-2466.57421875
1643476413.7058618,2810305,-2209.261962890625
1643476536.2803614,2812405,-2595.1357421875
1643476634.1563637,2814105,-2394.5869140625
1643476663.0418618,2814605,-2150.556640625
1643476818.6638637,2817305,-2342.979248046875
1643476876.6988626,2818305,-2298.74169921875
1643476910.845862,2818905,-2303.49609375
1643476950.6568627,2819605,-2225.001220703125
1643476956.2173643,2819705,-2491.87939453125
1643477215.7153618,2823005,-2182.424560546875
1643477227.0613647,2823205,-2664.66943359375
