Wall time,Step,Value
1643361997.639922,1141802,-877.5745849609375
1643362090.3494236,1143102,-963.1436157226562
1643362130.5579233,1143702,-891.4036865234375
1643362241.4859242,1145302,-894.0299072265625
1643362255.3319242,1145502,-961.27978515625
1643362271.2764232,1145702,-931.0232543945312
1643362278.581923,1145802,-907.9921875
1643362292.5644224,1146002,-1006.5391845703125
1643362333.4744222,1146602,-930.0299072265625
1643362354.4734237,1146902,-950.2496337890625
1643362415.8644247,1147802,-913.8366088867188
1643362456.6344237,1148402,-838.652099609375
1643362470.8044229,1148602,-934.1685180664062
1643362477.1674232,1148702,-975.7327880859375
1643362511.2679229,1149202,-880.8895874023438
1643362570.890921,1150002,-996.35498046875
1643362618.587422,1150702,-949.5661010742188
1643362673.7209227,1151502,-975.6722412109375
1643362693.8789227,1151802,-897.5132446289062
1643362700.430422,1151902,-926.1298828125
1643362748.6794217,1152602,-934.6414184570312
1643362781.4504213,1153102,-968.314208984375
1643362837.2864225,1153902,-944.14013671875
1643362926.9794242,1155202,-924.4912109375
1643363000.7394223,1156302,-911.2068481445312
1643363035.5609226,1156802,-1000.7562255859375
1643363055.6264215,1157102,-898.3047485351562
1643363115.6999218,1158002,-962.3414916992188
1643363122.2709217,1158102,-985.655029296875
1643363196.9339216,1159102,-939.418212890625
1643363231.1504211,1159602,-941.949462890625
1643363245.4639232,1159802,-1000.745849609375
1643363251.909423,1159902,-910.1194458007812
1643363280.0844228,1160302,-944.7332763671875
1643363334.513422,1161102,-923.0462646484375
1643363450.706926,1161902,-1007.5844116210938
1643363456.8154228,1162002,-942.25927734375
1643363486.890421,1162502,-984.1847534179688
1643363555.814922,1163602,-894.672607421875
1643363592.7734232,1164202,-948.4088745117188
1643363624.7414222,1164702,-929.6050415039062
1643363644.1254218,1165002,-910.1766357421875
1643363719.7304232,1166202,-893.26123046875
1643363763.3959212,1166802,-1034.384765625
1643363793.2329211,1167302,-913.4144897460938
1643363810.8224235,1167602,-936.6409912109375
1643363835.021423,1168002,-969.3399658203125
1643363862.2989225,1168402,-852.5943603515625
1643363876.9274228,1168602,-946.286376953125
1643364010.8649244,1170502,-911.1193237304688
1643364044.5949218,1171002,-936.5993041992188
1643364051.6149232,1171102,-992.4930419921875
1643364085.390422,1171602,-893.8524169921875
1643364120.0594244,1172102,-893.2684326171875
1643364133.806923,1172302,-919.4465942382812
1643364190.8149211,1173102,-874.6024780273438
1643364198.170423,1173202,-880.434814453125
1643364247.5004256,1173902,-915.1959838867188
1643364255.8609238,1174002,-946.4060668945312
1643364277.3624232,1174302,-901.5003662109375
1643364345.3164237,1175202,-966.495361328125
1643364400.680421,1176002,-872.6028442382812
1643364510.7274218,1177602,-747.2145385742188
1643364537.8674212,1178002,-887.1326904296875
1643364579.6044211,1178602,-830.70703125
1643364609.5509224,1179002,-839.474609375
1643364622.924422,1179202,-825.6843872070312
1643364712.4219236,1180502,-837.386962890625
1643364895.437421,1182102,-771.3231811523438
1643364979.3704224,1183402,-906.202880859375
1643364986.0269215,1183502,-754.945556640625
1643364998.151422,1183702,-916.2158203125
1643365034.953922,1184302,-884.3497314453125
1643365090.6484222,1185202,-715.8154907226562
1643365105.2439241,1185402,-876.999267578125
1643365113.1299229,1185502,-833.48779296875
1643365133.6294234,1185802,-772.3131103515625
1643365176.108923,1186402,-759.0859375
1643365240.542923,1187302,-684.695556640625
1643365262.6749225,1187602,-812.4923095703125
1643365270.0659237,1187702,-796.3358154296875
1643365340.409923,1188702,-889.9442138671875
1643365445.4089212,1190202,-916.745361328125
1643365459.028423,1190402,-807.7628173828125
1643365472.848421,1190602,-829.4581298828125
1643365581.9254236,1192002,-846.8575439453125
1643365617.5029237,1192502,-961.5188598632812
1643365632.5589218,1192702,-767.9593505859375
1643365653.2869234,1193002,-769.359375
1643365709.3359225,1193802,-711.468505859375
1643365751.9674242,1194402,-756.3555908203125
1643365766.014925,1194602,-701.6156616210938
1643365787.0549216,1194902,-881.6724853515625
1643365828.4159222,1195502,-819.5982666015625
1643365863.508922,1196002,-862.986572265625
1643365930.396924,1197002,-891.788330078125
1643365970.1739247,1197602,-795.5902099609375
1643366007.8099232,1198202,-798.4649658203125
1643366031.508924,1198602,-714.0782470703125
1643366071.1874223,1199202,-917.713623046875
1643366085.2119231,1199402,-842.1867065429688
1643366091.7429216,1199502,-838.4730834960938
1643366106.1369226,1199702,-758.7977905273438
1643366120.4904227,1199902,-860.796630859375
1643366128.2654223,1200002,-736.25634765625
1643366169.257421,1200502,-812.840576171875
1643366176.3359234,1200602,-852.4093017578125
1643366315.455422,1201502,-695.1619262695312
1643366359.1064217,1202102,-902.10205078125
1643366373.811424,1202302,-831.5211181640625
1643366408.063423,1202802,-851.968994140625
1643366443.4364243,1203302,-848.7491455078125
1643366456.5209217,1203502,-863.582763671875
1643366540.4289236,1204702,-752.697021484375
1643366590.974422,1205402,-832.571533203125
1643366597.8609233,1205502,-834.6268310546875
1643366612.4919238,1205702,-805.5925903320312
1643366627.8909233,1205902,-903.8533935546875
1643366634.8374226,1206002,-789.393310546875
1643366649.9784222,1206202,-850.1649780273438
1643366732.5709236,1207402,-775.8890380859375
1643366759.0954235,1207702,-883.25439453125
1643366787.986922,1208102,-842.864501953125
1643366808.4104228,1208402,-758.1862182617188
1643366828.926923,1208702,-760.152587890625
1643366857.520922,1209102,-740.6959228515625
1643366864.4124227,1209202,-713.8679809570312
1643366893.531922,1209602,-859.31201171875
1643366929.9459224,1210102,-855.9658203125
1643366937.344422,1210202,-863.9907836914062
1643367003.094422,1211202,-840.0140380859375
1643367028.317422,1211602,-786.7804565429688
1643367046.6584218,1211902,-773.8638305664062
1643367096.7474232,1212702,-845.7608642578125
1643367121.2969222,1213102,-736.6605224609375
1643367140.6364226,1213402,-900.2696533203125
1643367146.4119244,1213502,-800.509033203125
1643367152.143421,1213602,-757.4634399414062
1643367194.1299217,1214302,-874.771484375
1643367231.006923,1214902,-948.9335327148438
1643367243.2919219,1215102,-839.6714477539062
1643367249.6049218,1215202,-781.4058837890625
1643367273.4159234,1215602,-801.068115234375
1643367297.8829215,1216002,-881.7999267578125
1643367316.5529222,1216302,-880.4862060546875
1643367322.5944223,1216402,-804.388671875
1643367328.9294217,1216502,-788.7349853515625
1643367358.0149221,1216902,-822.393310546875
1643367412.5319238,1217802,-819.901611328125
1643367436.2699225,1218202,-798.6866455078125
1643367442.2884238,1218302,-783.811279296875
1643367448.868921,1218402,-894.35498046875
1643367460.874923,1218602,-748.7077026367188
1643367466.5384214,1218702,-882.1322021484375
1643367502.502421,1219302,-772.5665893554688
1643367526.9669235,1219702,-866.0532836914062
1643367532.772422,1219802,-872.1712646484375
1643367544.5714233,1220002,-913.3673095703125
1643367557.027422,1220202,-745.6543579101562
1643367575.0289211,1220502,-802.73583984375
1643367581.285422,1220602,-724.0285034179688
1643367587.0349226,1220702,-826.487060546875
1643367593.2904212,1220802,-883.2335815429688
1643367612.7844234,1221102,-852.0225219726562
1643367705.967925,1221502,-769.3906860351562
1643367734.9804215,1222002,-877.5192260742188
1643367741.3194213,1222102,-831.5807495117188
1643367747.3539224,1222202,-796.2769775390625
1643367782.706922,1222802,-847.57373046875
1643367842.676921,1223802,-800.68701171875
1643367884.233925,1224502,-884.8446044921875
1643367908.3129218,1224902,-852.7471923828125
1643367920.595421,1225102,-895.4239501953125
1643367955.1204238,1225602,-812.4656982421875
1643368097.722421,1228002,-807.4871215820312
1643368109.819922,1228202,-823.1210327148438
1643368115.776421,1228302,-847.479736328125
1643368138.9709232,1228702,-806.8884887695312
1643368150.573421,1228902,-702.3037109375
1643368174.781424,1229302,-879.483642578125
1643368187.0859215,1229502,-793.2559204101562
1643368234.0704212,1230302,-883.8319091796875
1643368269.139421,1230902,-728.6202392578125
1643368292.7824233,1231302,-848.3638916015625
1643368334.3394258,1232002,-944.5031127929688
1643368345.8739223,1232202,-818.8861694335938
1643368381.9229243,1232802,-875.4979248046875
1643368393.826422,1233002,-843.3594360351562
1643368411.5059228,1233302,-877.5858764648438
1643368417.4654207,1233402,-884.0625
1643368429.6334221,1233602,-845.4616088867188
1643368476.6054218,1234402,-808.1063232421875
1643368482.5184214,1234502,-829.1105346679688
1643368499.9699235,1234802,-739.3382568359375
1643368546.9259222,1235502,-777.116943359375
1643368564.7289212,1235802,-869.821044921875
1643368618.226923,1236702,-923.5711669921875
1643368629.8199213,1236902,-798.3966674804688
1643368641.4494224,1237102,-821.5817260742188
1643368658.3824222,1237402,-806.8135986328125
1643368664.309921,1237502,-738.6188354492188
1643368717.1949217,1238402,-873.4343872070312
1643368723.457922,1238502,-741.0975952148438
1643368747.0599208,1238902,-786.2722778320312
1643368752.7069223,1239002,-796.3436889648438
1643368758.7119236,1239102,-828.423095703125
1643368764.6644242,1239202,-833.8280029296875
1643368788.6374218,1239602,-854.0701293945312
1643368794.3014214,1239702,-811.9285278320312
1643368812.082922,1240002,-922.7222290039062
1643368817.7574217,1240102,-815.0308837890625
1643368865.1079228,1240902,-879.4993896484375
1643368954.0739238,1241302,-829.7381591796875
1643368965.5959234,1241502,-927.41748046875
1643368977.104921,1241702,-939.61279296875
1643368982.8114243,1241802,-923.9744873046875
1643369039.515923,1242702,-851.2964477539062
1643369059.5064237,1243002,-807.111572265625
1643369111.5959208,1243802,-853.2129516601562
1643369124.020422,1244002,-849.988525390625
1643369154.2524214,1244402,-913.3218383789062
1643369160.7614212,1244502,-866.4180908203125
1643369196.7444236,1245002,-869.900390625
1643369247.7794225,1245702,-915.4197998046875
1643369325.2359235,1246802,-939.6819458007812
1643369339.7624235,1247002,-861.460693359375
1643369381.4434233,1247602,-821.834716796875
1643369403.083925,1247902,-975.095703125
1643369417.4704237,1248102,-846.5562744140625
1643369446.469422,1248502,-848.889404296875
1643369475.1964247,1248902,-851.7333984375
1643369489.643423,1249102,-742.2073364257812
1643369525.8404236,1249602,-855.0985107421875
1643369532.4604225,1249702,-875.1695556640625
1643369540.1169238,1249802,-800.3792114257812
1643369595.2524238,1250602,-771.2244873046875
1643369636.5304215,1251202,-814.2445068359375
1643369665.8914216,1251602,-834.7435302734375
1643369672.7894228,1251702,-847.089599609375
1643369679.9444227,1251802,-915.3260498046875
1643369747.5004227,1252702,-835.5736083984375
1643369782.1499243,1253202,-968.6471557617188
1643369883.1254218,1254602,-807.3423461914062
1643369899.5634222,1254802,-908.6727294921875
1643370040.9194243,1256802,-861.6710815429688
1643370048.3344233,1256902,-851.2636108398438
1643370075.972923,1257302,-818.7239379882812
1643370083.860422,1257402,-818.72412109375
1643370090.778425,1257502,-811.0482788085938
1643370217.9009233,1259302,-763.0693359375
1643370254.4039242,1259802,-751.9409790039062
1643370301.4634223,1260502,-895.7820434570312
1643370307.215421,1260602,-907.0684204101562
1643370348.563922,1261202,-820.9140625
1643370435.8694248,1261402,-802.4190673828125
1643370470.8984215,1261902,-851.5151977539062
1643370484.2259228,1262102,-737.365478515625
1643370497.0849214,1262302,-881.6304931640625
1643370527.242423,1262702,-807.0513916015625
1643370676.7204213,1264502,-778.904296875
1643370693.021422,1264702,-792.1133422851562
1643370709.1044247,1264902,-884.5289306640625
1643370775.8644214,1265702,-758.1683349609375
1643370801.4554226,1266002,-846.9693603515625
