Wall time,Step,Value
1643397605.6203063,1603003,-969.3045043945312
1643397639.2203047,1603603,-925.2965087890625
1643397729.3773038,1605203,-1107.7149658203125
1643397740.4643066,1605403,-970.360107421875
1643397758.6448047,1605703,-1141.41162109375
1643397821.5928047,1606803,-1070.5369873046875
1643397905.801305,1608303,-1124.2747802734375
1643397922.204804,1608603,-1187.0048828125
1643398035.171807,1610603,-992.8735961914062
1643398383.8923047,1616703,-1078.3792724609375
1643398401.196306,1617003,-1051.521240234375
1643398452.540808,1617903,-1174.62890625
1643398542.872306,1619503,-1016.81640625
1643398554.562304,1619703,-1121.5543212890625
1643398872.632304,1624103,-1024.216796875
1643398900.532805,1624603,-1130.1409912109375
1643398985.3458037,1626103,-1218.672607421875
1643399019.2828057,1626703,-1053.079833984375
1643399046.9123044,1627203,-1033.512451171875
1643399086.5738037,1627903,-1076.4305419921875
1643399119.7568047,1628503,-1143.9617919921875
1643399321.8193047,1632003,-887.1561279296875
1643399333.712306,1632203,-771.324462890625
1643399378.5333037,1633003,-1135.0665283203125
1643399495.5738046,1635103,-894.9512329101562
1643399540.0473049,1635903,-1102.10302734375
1643399652.745304,1637903,-1044.873291015625
1643400033.376304,1643303,-955.1807861328125
1643400039.4983046,1643403,-1206.5380859375
1643400135.1858048,1645103,-1167.4825439453125
1643400152.1603065,1645403,-1187.6953125
1643400168.6928039,1645703,-1280.77099609375
1643400252.6708047,1647203,-1086.004150390625
1643400269.9768052,1647503,-1210.983642578125
1643400275.481305,1647603,-956.4186401367188
1643400331.891304,1648603,-1105.947021484375
1643400439.5538049,1650503,-1013.5271606445312
1643400561.5093038,1652603,-1158.2799072265625
1643400661.0318046,1654303,-1248.054443359375
1643400688.9168048,1654803,-1066.70263671875
1643400840.1068037,1657503,-1034.35791015625
1643400896.8238065,1658503,-1037.740966796875
1643400930.4493039,1659103,-1316.2049560546875
1643400969.7593045,1659803,-1385.552978515625
1643400975.3043046,1659903,-1165.4688720703125
1643401230.0023048,1663203,-1338.182373046875
1643401241.6333067,1663403,-1188.76806640625
1643401309.5553052,1664603,-1173.504150390625
1643401348.7923048,1665303,-1131.9525146484375
1643401354.3348045,1665403,-1112.686279296875
1643401365.6608067,1665603,-1107.612548828125
1643401382.1783054,1665903,-1244.821044921875
1643401393.7018065,1666103,-1378.7099609375
1643401461.1003044,1667303,-994.2871704101562
1643401517.3678064,1668303,-1006.302001953125
1643401764.6988063,1672603,-886.8480224609375
1643401811.5108047,1673403,-1275.822509765625
1643401857.3303056,1674203,-1353.7833251953125
1643401908.6243036,1675103,-1312.6629638671875
1643401981.5698051,1676403,-1238.231201171875
1643402004.0168037,1676803,-1261.522705078125
1643402056.3038068,1677703,-1166.4248046875
1643402078.922304,1678103,-1316.82275390625
1643402090.042805,1678303,-1001.0338745117188
1643402101.1458056,1678503,-1346.7139892578125
