episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/train,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/min_q
0.0,0.0,0.0,713.5,2,1,1500,1500,False,2,1,40d4b7b08c2b4563a8251c81fda14076,2021-12-21_10-09-19,1640077759,31.45500111579895,31.45500111579895,33088,DESKTOP-DC3PIC0,172.22.22.53,31.45500111579895,0,1,8ee66_00000,"[0.0, 0.0]","[517, 910]",1.5863166659137236,5.442894910828897,0.10729169623205298,12.30218408903545,0.0,19.001,13472.632,119.499,2142.274,2.0,1500,1500,256,256,1500,1,31.095238095238095,52.67857142857144,0.8840476190476191,0.6408429827008929,"[-1520992. -1425072. -1517696. -1422256. -1352256. -1519488. -1517328.
 -1517696. -1519488. -1686992. -1519488. -1243952. -1518784. -1518784.
 -1589280. -1372560. -1628240. -1522032. -1372560. -1589280. -1518784.
 -1422752. -1338432. -1518784. -1448992. -1448992. -1448992. -1516064.
 -1518784. -1408224. -1517696. -1519488. -1519488. -1589280. -1448992.
 -1422784. -1519488. -1518784. -1518784. -1617200. -1589280. -1518784.
 -1518784. -1589280. -1519488. -1517680. -1519488. -1589280. -1628240.
 -2171168. -1448992. -1589280. -1521008. -1520448. -1516064. -1518784.
 -1519488. -1558960. -1518784. -1408224. -1518784. -1675296.  -868848.
 -1409328. -1589280. -1448992. -1516112. -1589280. -1514896. -1589280.
 -1517696. -1558880. -1448992. -1521024. -1663552. -1589280. -1686960.
 -1408224. -1517696. -1617200. -1686992. -1589280. -1311376. -1517312.
 -1519488. -1578544. -1517696. -1627152. -1518784. -1517696. -1528032.
 -1516064. -1518784. -1628240. -1519488. -1518784. -1686992. -1517696.
 -1517328. -1448992. -1448992. -1519488. -1518784. -1518784. -1352256.
 -1338432. -1338432.   105680. -1368128. -1519504. -1518784. -1372560.
 -1448992. -1448992. -1628240. -1628240. -1517328. -1663552. -1519488.
 -1521056. -1338448. -1448992. -1518784. -1589280. -1338432. -1519488.
 -1338432. -1516064. -1628240. 64545920. -1514896. -1516112. -1518784.
 -1518784. -1522064. -1517328. -1520480. -1481152. -1372560. -1589280.
 -1518784. -1519488. -1338432. -1338432. -1589280. -1519488. -2273664.
 -1516064. -1517328. -1450176. -1448992. -1408224. -1448992. -1517328.
 -1519488. -1516064. -1448992. -1518784. -1519488. -1628240. -1517328.
 -1422784. -1589280. -1589280. -1338432. -1517328. -1448992. -1520448.
 -1516064. -1518784. -1521056. -1518784. -1241728. -1589280. -1517728.
 -1698720. -1518784. -1518784. -1617200. -1518784. -1517696. -1514464.
 -1589280. -1589280. -1481152. -1517328. -1589280. -1480928. -1519488.
 -1516064. -1519488. -1522032. -1520464. -1698736. -1514464. -1470464.
 -1517680. -1422752. -1448992. -1521024. -1352256. -1628240. -1589280.
 -2273664. -1372560. -1698720. -1589280. -1338448. -1520448. -1698736.
 -1518784. -1796400. -1517328. -1517696. -1517296. -1408224. -1519488.
 -1517328. -1417024. -1516064. -1408224. -1421440. -1448992. -1338432.
 -1517696. -1311376. -1422256. -1519488. -1520096. -1519488. -1519488.
 -1448992. -1521024. -1628240. -1518784. -1517696. -1422752. -1398176.
 -1518784. -1514912. -1518784. -1518784. -1519488. -1338432. -1628224.
 -1338432. -1448992. -1519488. -1417024. -1518784. -1627360. -1422752.
 -1589280. -1519488. -1518784. -1338432.]",,-151331890.0,-86884810.0,-152983650.0
0.0,0.0,0.0,465.8,3,1,2500,2500,False,5,2,40d4b7b08c2b4563a8251c81fda14076,2021-12-21_10-10-16,1640077816,57.328497648239136,88.78349876403809,33088,DESKTOP-DC3PIC0,172.22.22.53,88.78349876403809,0,2,8ee66_00000,"[0.0, 0.0, 0.0, 0.0, 0.0]","[517, 910, 522, 195, 185]",1.9999650262388253,5.534036915326844,0.10938741609499714,12.260551347140652,0.0,1.953,131102.407,10.547,24271.934,2.65,2500,2500,256256,256256,2500,1001,36.87631578947369,53.38947368421052,0.9244736842105263,0.6445328561883223,"[ 1.3575520e+06  1.4257280e+06  1.0340960e+06  1.2429760e+06
  1.4672000e+06  1.1244000e+06 -1.3061744e+07  1.3478560e+06
  1.2690560e+06  1.4891520e+06  1.4224160e+06 -1.3061744e+07
  1.4224160e+06  1.0988960e+06  1.3577440e+06 -1.4038712e+08
  1.4343840e+06  1.2436640e+06  1.4890880e+06  1.2429760e+06
  8.1166400e+05  1.4903520e+06  1.3578400e+06  1.2733760e+06
  1.7588960e+06  5.8214560e+06  1.4890880e+06  1.1241760e+06
  1.2985920e+06 -9.1863200e+06  1.0228640e+06  1.4888160e+06
  1.1593760e+06  9.5974400e+05  1.4348480e+06  1.4222720e+06
  1.5013280e+06  1.4343840e+06  1.5174560e+06  1.4377760e+06
  1.1514720e+06  1.4896160e+06  1.1180320e+06  2.2617920e+06
  1.1593760e+06  1.2434720e+06  1.4343840e+06  8.1166400e+05
  1.4372640e+06  1.3578400e+06  1.3578400e+06  1.4348480e+06
 -9.1863200e+06  1.1679360e+06  1.2278240e+06  5.9930080e+06
  1.4222400e+06  2.2617920e+06  1.4348480e+06  1.4222400e+06
 -1.4038712e+08  1.2266240e+06  1.2759680e+06  1.2638240e+06
  1.3345280e+06  1.2753120e+06  1.1467040e+06  2.1474400e+06
  9.9424000e+05  1.4227040e+06  1.4222720e+06  1.4227040e+06
  1.6768480e+06  1.4224160e+06  1.7588960e+06  1.4343840e+06
  1.4257280e+06  1.4226400e+06  1.4222400e+06  1.7588960e+06
  1.7098560e+06  1.4888160e+06  1.2759680e+06  1.4823520e+06
  1.2428160e+06  1.4224160e+06  1.2567360e+06  1.4672000e+06
  1.4227040e+06  1.2319040e+06  5.4955200e+05  1.3996320e+06
  1.4348480e+06  1.4822880e+06  1.4345600e+06  1.4343840e+06
  1.2638240e+06  1.2567360e+06  1.4357920e+06  1.4890880e+06
  1.2335840e+06  1.2733440e+06  1.5012320e+06  1.3536160e+06
  1.4222400e+06  1.3991040e+06  1.1439200e+06  1.5501280e+06
  1.4148160e+06  1.3341760e+06  1.6656960e+06  1.2693600e+06
  1.4348480e+06  1.3345280e+06  1.4890880e+06  1.3526880e+06
  1.1516160e+06  1.1313760e+06  1.2750880e+06  1.4888160e+06
  1.4343840e+06  1.4227040e+06  1.4224160e+06  1.4659520e+06
  1.1516160e+06  1.4344000e+06  1.4222400e+06  1.4357920e+06
  1.4891520e+06  1.2750880e+06  1.1514720e+06  1.3991040e+06
  1.4348480e+06  1.6154560e+06  1.1241760e+06  1.5174560e+06
  1.4227040e+06  1.3360000e+06  1.4659520e+06  1.4348480e+06
  1.3360000e+06  1.4348480e+06  1.9525280e+06  1.4227040e+06
  1.4227040e+06  1.4348480e+06  1.4345600e+06  1.2442560e+06
  1.2335840e+06  1.2266240e+06  1.3577760e+06  1.3578400e+06
  1.4224160e+06  1.4224160e+06  1.4348480e+06  1.3536160e+06
  1.1620000e+06  1.4348480e+06  1.3574880e+06  1.1180320e+06
  1.4894880e+06  1.2277600e+06  1.4227360e+06  1.6768480e+06
  1.4227040e+06  1.1679360e+06  1.2691680e+06  1.4227040e+06
  1.2733760e+06  1.4348480e+06  1.6149120e+06  1.4343840e+06
  1.4224160e+06  1.4344000e+06  1.1514720e+06  1.3345280e+06
  1.3345280e+06  1.3345280e+06  1.2326560e+06  1.5335040e+06
  1.4242240e+06  1.1514720e+06  1.3574880e+06  1.2985920e+06
  1.2690560e+06  1.4227040e+06  2.2617920e+06  1.4343840e+06
  1.2277600e+06  8.3414400e+05  1.2358240e+06  1.4224160e+06
  1.5491360e+06  1.1594080e+06  1.4222400e+06  1.5012320e+06
  1.4893920e+06  1.4227040e+06  1.1593760e+06  1.2750720e+06
  1.4823520e+06  1.2985920e+06  1.2733760e+06  1.5855680e+06
 -1.4038712e+08  1.3478080e+06  1.4348480e+06  1.3991040e+06
  1.3536160e+06  1.2277600e+06  1.4343840e+06  1.3993120e+06
  1.1244640e+06  1.3107360e+06  1.2691680e+06  1.4223520e+06
  1.4348480e+06  1.0340960e+06  1.4227040e+06  1.4224160e+06
  5.9930080e+06  1.0377600e+06  1.4224160e+06  1.4227040e+06
  1.4343840e+06  1.3578400e+06  1.3481440e+06  1.2753120e+06
  1.3590400e+06  1.4227200e+06  1.4227040e+06  1.3578400e+06
  1.3577760e+06  1.3466720e+06  1.4348480e+06  1.3481920e+06
  1.6656960e+06  1.4226400e+06  1.4227040e+06  1.3478720e+06
  1.4227040e+06  1.4242880e+06  1.1244000e+06  1.4345600e+06
 -1.3061744e+07  1.4343840e+06  1.4224160e+06  1.3577120e+06
  1.4227040e+06  9.1942400e+05  1.4891520e+06  1.4348960e+06
  1.5491360e+06  1.4348480e+06  1.2750080e+06  1.4227040e+06]",,-140493070.0,-136178750.0,-141260850.0
