Wall time,Step,Value
1643202034.9554532,3300,0.036890968680381775
1643202067.3649528,3900,0.058288972824811935
1643202153.549957,5500,0.21635490655899048
1643202163.9709547,5700,0.13045504689216614
1643202182.1414528,6000,0.2033742219209671
1643202245.320457,7100,0.24275743961334229
1643202329.3314548,8600,0.6160301566123962
1643202346.1889532,8900,0.3837038576602936
1643202717.213953,10900,0.5890414714813232
1643202759.976955,11700,1.7126822471618652
1643202782.2969532,12100,0.6517632007598877
1643202894.9094532,14100,0.7220867872238159
1643203058.1559532,17000,1.7233268022537231
1643203075.2004528,17300,2.8828864097595215
1643203124.1579566,18200,4.191054344177246
1643203211.8704576,19800,1.7326000928878784
1643203223.4369564,20000,2.4758031368255615
1643203470.059953,24400,3.4040167331695557
1643203497.5844533,24900,1.5910608768463135
1643203582.4759557,26400,1.9781709909439087
1643203613.9884548,27000,1.7355356216430664
1643203643.5324547,27500,2.232637882232666
1643203681.1369536,28200,1.6466444730758667
1643203713.6699543,28800,2.7115602493286133
1643203816.949957,30700,1.5524085760116577
1643203906.1209528,32300,2.606597900390625
1643203916.7254543,32500,1.408726453781128
1643203959.2824535,33300,2.1846141815185547
1643204076.8159528,35400,1.4369773864746094
1643204122.7234569,36200,1.6658258438110352
1643204207.7419531,37800,1.0448625087738037
1643204230.2234576,38200,3.530243396759033
1643204528.786454,43600,3.457131862640381
1643204533.7389529,43700,2.213106632232666
1643204626.0614536,45400,2.6245193481445312
1643204645.2214537,45700,2.2508296966552734
1643204661.417453,46000,1.6849150657653809
1643204743.5904577,47500,1.2433009147644043
1643204758.7874541,47800,1.6245989799499512
1643204764.0499537,47900,4.457379341125488
1643204818.6734548,48900,1.4493533372879028
1643204922.0889535,50800,1.124075174331665
1643205039.246453,52900,0.9147884249687195
1643205134.8884556,54600,1.20131516456604
1643205162.4639528,55100,1.6964881420135498
1643205314.171457,57800,2.70719575881958
1643205369.1664577,58800,1.9073635339736938
1643205402.8454545,59400,1.1348425149917603
1643205444.002955,60100,1.4257713556289673
1643205449.5014539,60200,1.6628201007843018
1643205639.7084546,63500,3.188361644744873
1643205651.1004543,63700,1.236415147781372
1643205715.9184542,64900,1.9920262098312378
1643205757.150454,65600,1.0450587272644043
1643205763.8094556,65700,1.9186677932739258
1643205774.4879572,65900,3.686711311340332
1643205790.8494544,66200,1.8057434558868408
1643205801.6809528,66400,1.8321144580841064
1643205872.1194537,67600,2.09334135055542
1643205926.930453,68600,1.5621094703674316
1643206177.949953,72900,1.9618302583694458
1643206199.719454,73300,1.9967186450958252
1643206226.132954,73700,1.860716462135315
1643206271.595954,74500,2.120746612548828
1643206322.2389529,75400,1.6306707859039307
1643206397.8384528,76700,1.1928718090057373
1643206421.2509527,77100,1.130858063697815
1643206476.0629556,78000,1.4681891202926636
1643206497.830454,78400,1.0767383575439453
1643206508.8989544,78600,4.2970871925354
1643206519.922456,78800,2.1825814247131348
1643206567.3344526,79500,1.8436081409454346
1643206595.5354528,80000,4.615642547607422
1643206606.0639539,80200,1.2883349657058716
1643206631.7949543,80700,1.425062894821167
1643206642.5879538,80900,1.7042635679244995
1643206663.5044553,81300,1.3164713382720947
1643206690.174454,81700,1.2134449481964111
1643206722.3274531,82300,1.1073839664459229
1643206727.6349547,82400,1.20622980594635
1643206858.3039563,84700,1.1397287845611572
1643206879.8444564,85100,0.9578906893730164
1643207069.5419571,88400,1.1922301054000854
1643207108.6339588,89100,1.8023388385772705
1643207147.214453,89700,1.4860174655914307
1643207220.101953,91100,1.7040371894836426
1643207249.765956,91500,1.219503402709961
1643207289.3094563,92200,0.9894791841506958
1643207299.9244542,92400,1.601495385169983
1643207334.066457,93000,1.4282994270324707
1643207346.009454,93200,1.9320881366729736
1643207429.901456,94600,1.7651586532592773
1643207435.4819574,94700,1.4756250381469727
1643207494.6134534,95700,1.2158385515213013
1643207510.221454,96000,1.934906005859375
1643207559.1519532,96900,2.353424549102783
1643207580.8124537,97300,1.7474267482757568
1643207610.019954,97700,1.9684159755706787
1643207658.212453,98600,1.475180983543396
1643207663.516957,98700,3.918715715408325
1643207696.4404547,99300,1.3633623123168945
1643207701.4259527,99400,1.939660668373108
1643207734.708956,99900,1.4820609092712402
1643207836.664453,101700,1.827934980392456
1643207852.868954,102000,2.5080742835998535
1643207902.5969536,102900,1.6078851222991943
1643208074.949456,105900,5.852294921875
1643208145.997954,107200,1.288507342338562
1643208184.2509575,107800,1.8175363540649414
1643208200.6904535,108100,1.9305652379989624
1643208211.814954,108300,1.646352767944336
1643208233.566953,108700,2.049774646759033
1643208266.3439538,109300,2.603394031524658
1643208300.2379527,109800,1.4115689992904663
1643208353.340454,110800,3.4056859016418457
1643208386.4064548,111400,1.3727023601531982
1643208421.2199528,111900,2.156680107116699
1643208476.5204544,112900,1.762808084487915
1643208719.500454,117100,1.2759418487548828
1643208749.1319532,117500,1.7548493146896362
1643208755.0169566,117600,2.138559103012085
1643208760.3824556,117700,1.8119690418243408
1643208864.0334563,119500,1.8727757930755615
1643208932.8399541,120800,2.744871139526367
1643209010.9159546,122100,3.146615982055664
1643209159.5619557,124700,2.5520143508911133
1643209230.7004542,125900,2.43698787689209
1643209290.4779549,127000,2.1295738220214844
1643209306.2609532,127300,2.2124266624450684
1643209330.8614566,127600,1.728248119354248
1643209450.480953,129600,2.369633674621582
1643209482.3104544,130200,2.987837314605713
