Wall time,Step,Value
1643397701.4863045,1604703,23339.3203125
1643397734.9368038,1605303,23339.3203125
1643397827.2578049,1606903,15975.568359375
1643397838.228805,1607103,15975.568359375
1643397854.844305,1607403,15975.568359375
1643397916.7418044,1608503,24588.896484375
1643398001.0198054,1610003,24588.896484375
1643398018.7338047,1610303,24706.287109375
1643398135.2698069,1612303,24706.287109375
1643398480.3613038,1618403,37246.671875
1643398497.3563044,1618703,41218.73046875
1643398548.7413049,1619603,41218.73046875
1643398708.2038054,1621203,41218.73046875
1643398720.2953045,1621403,45407.5
1643398968.7253044,1625803,44442.35546875
1643398996.6133049,1626303,44442.35546875
1643399081.1033041,1627803,48936.73046875
1643399114.2403045,1628403,48936.73046875
1643399143.493306,1628903,48936.73046875
1643399182.936305,1629603,51628.01953125
1643399216.818805,1630203,51628.01953125
1643399417.6418054,1633703,50160.484375
1643399428.9663048,1633903,50160.484375
1643399473.4368045,1634703,50160.484375
1643399590.5068052,1636803,50160.484375
1643399636.0373046,1637603,50160.484375
1643399749.941806,1639603,50160.484375
1643400129.3558073,1645003,147621.15625
1643400135.1773047,1645103,147621.15625
1643400230.310308,1646803,147621.15625
1643400246.8258047,1647103,147621.15625
1643400264.4468043,1647403,152051.140625
1643400348.8903046,1648903,152051.140625
1643400366.2503045,1649203,152051.140625
1643400371.8158045,1649303,152051.140625
1643400428.4888048,1650303,152051.140625
1643400539.2868066,1652203,152051.140625
1643400661.0223048,1654303,165186.078125
1643400756.7188041,1656003,162430.390625
1643400784.8243036,1656503,162430.390625
1643400935.9313047,1659203,159780.59375
1643400992.2343047,1660203,159780.59375
1643401026.2543054,1660803,159780.59375
1643401133.4053037,1661503,159780.59375
1643401138.921307,1661603,159780.59375
1643401326.2928038,1664903,169540.890625
1643401337.3958046,1665103,169540.890625
1643401405.1808045,1666303,169540.890625
1643401444.2113037,1667003,169540.890625
1643401449.7568064,1667103,169540.890625
1643401461.091306,1667303,169540.890625
1643401478.0088046,1667603,169540.890625
1643401489.0563035,1667803,169540.890625
1643401556.8548048,1669003,169540.890625
1643401612.8408046,1670003,169540.890625
1643401863.1798046,1674303,169540.890625
1643401908.6148045,1675103,169540.890625
1643401953.3093057,1675903,169540.890625
1643402004.0078056,1676803,169540.890625
1643402078.912804,1678103,169540.890625
1643402101.1363063,1678503,169540.890625
1643402151.5048058,1679403,169540.890625
1643402174.5738046,1679803,169540.890625
1643402185.8638065,1680003,169540.890625
1643402196.8883047,1680203,169540.890625
1643402235.4803047,1680903,169540.890625
1643402332.154805,1681403,370879.15625
1643402343.351304,1681603,370879.15625
1643402371.5693042,1682103,370879.15625
1643402382.6183054,1682303,370879.15625
1643402404.7813044,1682703,370879.15625
1643402426.8623064,1683103,370879.15625
1643402464.0313075,1683703,347428.40625
1643402470.0513048,1683803,335320.75
1643402600.9918063,1686103,315064.1875
1643402623.839805,1686503,315064.1875
1643402812.3008053,1689803,300456.46875
1643402851.9873047,1690503,283508.71875
1643402885.8793068,1691103,283508.71875
1643402970.0238042,1692503,275817.25
1643402992.9833047,1692903,275817.25
1643403034.4068053,1693603,275817.25
1643403046.694305,1693803,275817.25
1643403094.3803046,1694603,275817.25
1643403172.837305,1696003,275817.25
1643403235.6093044,1697103,275817.25
1643403252.5678062,1697403,275817.25
1643403303.0623057,1698303,275817.25
1643403348.0128071,1699103,275817.25
1643403399.3433037,1700003,275817.25
1643403405.4238088,1700103,275817.25
1643403440.9193056,1700703,275817.25
1643403446.4618049,1700803,275817.25
1643403544.9823039,1701303,309189.53125
1643403646.8843067,1703103,309189.53125
1643403663.8633044,1703403,309189.53125
1643403713.987804,1704303,309189.53125
1643403963.5418048,1708603,311588.78125
1643403997.5153046,1709203,311588.78125
1643404014.1983044,1709503,311588.78125
1643404025.2298048,1709703,311588.78125
1643404047.6918046,1710103,311588.78125
1643404082.0308063,1710703,311588.78125
1643404116.1508045,1711203,306729.84375
1643404172.815304,1712203,299247.65625
1643404207.448306,1712803,299247.65625
1643404236.4018047,1713303,299247.65625
1643404293.873805,1714303,299247.65625
1643404531.0443041,1718503,296715.90625
1643404554.010306,1718903,296715.90625
1643404559.8753054,1719003,296715.90625
1643404565.4353046,1719103,296715.90625
1643404670.508807,1720903,298835.0625
1643404812.327806,1722203,293518.90625
1643404885.718306,1723503,293518.90625
1643405099.9523036,1727303,293518.90625
1643405162.7113037,1728403,293518.90625
1643405179.4603035,1728703,293518.90625
1643405196.4658072,1729003,293518.90625
1643405314.5313053,1731003,310270.34375
